NAMA,AIR (g),ENERGI (Kal),PROTEIN (g),LEMAK (g),KARBO (g),SERAT (g),ABU (g),KALSIUM (mg),FOSFOR (mg),BESI (mg),NATRIUM (mg),KALIUM (mg),TEMBAGA (mg),SENG (mg),RETINOL (mcg),BKAR (mcg),KARTOTAL (mcg),THIAMIN (mg),RIBOFLAVIN (mg),NIASIN (mg),VITC (mg),BDD (%)
Kerupuk cumi goreng,3.4,444,6.9,14.6,71.3,5,3.8,47,375,1.8,837,191,0.1,0.3,,,,0.4,0.1,1.8,0,100
Kerupuk kemplang (ikan) mentah,14.2,325,1.8,0.4,78.5,4.5,5.1,59,268,2.3,1123,273,0.2,0.5,32,0,,0.6,0.1,2.3,0,100
Kerupuk kemplang goreng,5.8,504,5.6,28.1,57.1,0.3,3.4,50,94,2.9,,,,,6,,280,0.31,,,0,100
Kerupuk kemplang panggang,9.4,356,9.7,1.1,76.9,1,3,62,129,2.9,,,,,7,,280,0.36,,,0,100
Kerupuk mie kuning goreng,7.2,476,0.1,21.1,71.3,4.2,0.3,57,36,4.6,,109,0.1,0.2,0,,333,0.22,0,0.9,0,100
Kerupuk udang goreng,4.4,477,4.7,20.5,68.5,5,1.9,24,188,0.9,449,109,0.1,0.2,,0,,0.2,0,0.9,0,100
Kue bangket,16.1,338,1.5,1.2,80.3,0,0.9,34,35,0.3,67,0,0.2,0.2,0,0,0,0.3,0,0,,100
Kue putu singkong,44.2,217,1.2,0.5,53.2,2.4,0.9,48,68,1.5,3,305,,,,0,0,0.1,0.1,0.8,,100
Lanting getuk,4.2,422,0.9,10.8,80.4,1.4,3.8,206,104,3.6,,,,,0,,0,0.43,,,0,100
Mi golosor,82.9,71,0.2,0.8,15.9,0.1,0.2,117,5,0.2,,,,,0,,112,0.05,0.02,0,0,100
Mie Bendo,11.5,353,0.3,0,88,2.4,0.2,28,14,2.8,9,49.2,0.5,0.1,,2,0,0.02,0,0.1,0,100
Mie Sagu,52.8,190,0.2,0.4,46.5,1.4,0.1,8,7,0.3,10,2.6,0.1,0,,2,0,0,0.4,0,0,100
Ongolongol sagu,75.3,111,0.3,2.7,21.2,0.3,0.5,79,15,1.7,,,,,0,,0,0.06,,,0,100
Oyek,12.6,351,0.9,0.9,84.9,4.3,0.7,60,36,2.1,5,229,0.1,0.5,,0,0,0.02,0.02,0.5,0,100
Papeda,84.8,61,0.2,0.1,14.9,0.5,0.1,3,1,0.2,4,20,0.1,0.1,0,0,0,0.06,0,0,0,100
Rasbi (Beras Ubi),11.1,394,2.2,8.8,76.6,6.8,1.3,68,76,1.6,165,388,0.4,0.4,,0,0,0.02,0.3,1.2,0,100
Rasi (Beras Singkong),12.6,350,0.9,0.4,85.7,14.4,0.5,42,21,1.5,8,14,0.3,0.5,,0,0,0.02,0.02,0.4,0,100
Sagu forno,31.5,291,0.5,4,63.4,0,0.6,10,20,0.8,40,50,0.1,0.2,0,0,0,,,,0,100
Sagu Lemak (Kue Sagon),4.3,452,2.8,14.8,76.8,1.1,0.7,15,39,1.1,182,52.7,0.04,0.8,,1220,0,0.32,0.04,0.1,0,100
Sagu manis,32.6,287,0.5,3.9,62.4,0,0.6,8,17,0.7,34,42,0.1,0.2,0,0,0,,,,0,100
Sagu Rendang,8.2,364,0.1,0.2,90.5,1.9,1,13,9,3.9,42,15.1,0.1,0.1,,0,0,0.02,0.6,0.8,0,100
Sagu sinole,22,354,0.8,8.3,68.9,0,0.1,10,30,0.8,30,11,0.2,0.3,0,0,0,,,,0,100
Serimping talas kebumen,4.8,478,2.5,21.2,69.2,1.7,2.3,112,118,2.3,,,,,0,,0,0.25,,,0,100
Tapai singkong,57.4,169,1.4,0.3,40.2,2,0.7,21,34,0.8,,,,,0,0,0,0,,,9,100
Tepung Arrowroot,13.6,355,0.7,0.2,85.2,0.4,0.3,8,22,1.5,2,10.7,0,0.1,,20,3,0.09,0,0,0,100
Tepung Ganyong,13.6,353,0.8,1.7,83.6,0.7,0.3,4,31,3.3,3,63.5,0.1,0.3,,0,0,0.02,0,0.9,1,100
Tepung Gaplek,13,345,2.4,0.4,83.1,6.7,1.1,18,95,1.5,6,55,0.4,1.2,,1,0,0.3,0.2,0.1,0,100
Tepung kentang kering,13,347,0.3,0.1,85.6,0.4,1,20,30,0.5,51,156.3,0.2,0.5,,0,0,0.04,0,0.4,0,100
Tepung Mocaf,11.9,350,1.2,0.6,85,6,1.3,60,64,15.8,8,403,0.1,0.6,,0,0,0.02,0.02,0.7,2,100
Tepung Sente,15.3,326,4,0.4,76.7,8.5,3.6,41,141,3.5,14,"1602.
 0",0.4,1.4,,0,0,0.02,0.2,7.7,0,100
Tepung singkong/ Tapioka,9.1,363,1.1,0.5,88.2,0.9,1.1,84,125,1,1,7.1,0,0.1,,0,,0.04,0,0.4,0,100
Tepung Tales Beneng,12.2,332,5.7,0.6,76.1,12.2,5.5,59,302,10.7,7,"1404.
 0",0.8,6.2,,0,0,0.02,0.1,0.3,0,100
Tepung Ubi Ungu,9.4,354,2.8,0.6,84.4,12.9,2.8,89,125,3.9,42,940,0.8,0.6,,0,0,0.4,0.02,0,0,100
Tiwul,11.2,353,2.4,1.1,83.4,6.5,1.6,55,95,4.7,5,670,0.2,0.8,,0,0,0.02,0.02,0.1,3,100
Tiwul Instan,9.1,395,3.2,8.5,76.5,4.2,2.7,81,81,5.8,377,469,2.1,1.2,,0,0,0.4,0.2,0.2,4,100
Ubi Cilembu,52.7,186,1.9,0.2,44.3,3.4,0.9,37,51,0.6,1,61.9,0.1,0.2,,26,0,0.02,0.2,0,0,89.6
Uli batatas,66.5,150,1.1,4,27.4,0,1,,23,0.1,6,112,0.1,0.2,0,0,0,0.53,0,1.3,0,100
Kacang arab kering,11.6,330,23.8,1.4,60.2,17.4,3,57,388,4.7,24,874.3,0.85,3.4,,40,140,0.77,0.21,1.5,2,100
Kacang babi kering,11.6,341,30.4,3.2,51.3,4.5,3.5,178,521,6.8,13,1768,0.82,3.1,,,87,0.23,0.33,2.8,,80
"Kacang belimbing
 (kecipir) kering",10.4,400,34.4,16.9,34.1,10.7,4.2,468,182,6.8,37,955,2.82,2,,,,0.3,0.44,3,,100
Kacang beracun ,72.1,118,4.4,1.5,21.6,0,0.4,50,50,1.7,10,40,0.3,1,,,,0.43,,,,
Kacang bogor kering,10,370,16,6,65,26.3,3,85,264,4.2,44,868.8,1.48,2.7,0,,,0.18,0.26,6.2,0,100
Kacang bogor ,60.8,165,7.7,3.1,27.4,2.5,1,96,126,5.3,6,537,0.41,1.2,,29,,0.32,0.35,2.7,,100
Kacang endel biji kering,14,331,25,1,58,23.6,2,80,400,5,12,1322.4,0.68,2.7,0,,,0.3,0.75,2.3,,95
Kacang ercis ,67.6,129,12.4,0.7,18.3,28.6,1,40,130,2.3,4,310,0.3,2.1,,212,,0.29,0.05,2.7,,45
kacang galing ,12,336,23.1,1.7,59.5,0,3.8,80,400,5,,,,,0,,,0.6,,,0,95
Kacang gude biji kering,16.1,316,20.7,1,58,4.6,4.2,146,445,4.7,16,1306.2,0.99,2.7,,19,,0.3,0.19,2.4,,100
Kacang gude biji ,70.3,114,7,0.6,20.8,4.4,2.3,3,122,1.5,4,480.5,0.12,0.9,,,70,0.37,0.07,0.8,43,100
Kacang hijau var bakti kering,7.4,350,17.1,1.8,70.7,5.7,3.1,94,315,4.9,46,893.9,1.52,3.1,,171,235,0.4,0.27,2.6,11,100
Kacang hijau var siwalik kering,8.8,339,20.8,2.1,64.6,7.4,3.7,122,136,4.9,45,880.4,1.5,3.1,,168,321,0.45,0.27,2.6,,100
Kacang hijau kering,15.5,323,22.9,1.5,56.8,7.5,3.3,223,319,7.5,42,815.7,1.9,2.9,,156,223,0.46,0.15,1.5,10,100
Kacang hitam kering,12.5,346,16.6,1.7,66.1,22.8,3.1,70,300,4.7,3,0,0.9,3.5,,28,,0.16,0.1,2.1,,100
Kacang kapri ,74.3,98,6.7,0.4,17.7,6.2,0.9,22,122,1.9,6,296.6,0.21,1.5,,,680,0.34,0.16,2.5,26,45
Kacang kedelai kering,12.7,381,40.4,16.7,24.9,3.2,5.5,222,682,10,210,713.4,1.58,3.9,,237,31,0.52,0.12,1.2,,100
Kacang kedelai ,20,286,30.2,15.6,30.1,2.9,4.1,196,506,6.9,28,870.9,1.24,3.6,,,95,0.93,0.26,1.8,,100
Kacang kincai kering,4.2,444,19.9,16,55,0,4.9,26,,,,,,,,,,0.1,0.1,1.9,,
Kacang komak ,20.9,327,16.4,4.3,55.8,0.5,2.6,74,282,4,22,1137,0.9,2.1,,,,0.99,0.12,0.1,,45
Kacang kuning kering,11.7,355,17,2.5,66,15.1,2.8,140,220,5.8,1,0,0.7,3.2,,58,,0.47,0.08,1.9,,
Kacang lebui /iris kering,11.8,346,16.5,1.5,66.6,37.3,3.6,144,368,3.4,17,1225,1.5,3.3,,64,,0.62,0.2,0,,100
Kacang mentega kering,13.7,344,16.7,2.1,64.6,13,2.9,110,300,6.7,1,10,0.7,2.5,,0,,0.21,0.07,1.2,,
Kacang merah /banda kering,13,350,13.9,3,66.9,26.3,3.2,84,242,6.8,19,1127,0,42,,137,,0.15,0.76,0.3,,100
Kacang merah tua kering,12.3,280,16.7,1.6,63.2,4.6,6.2,209,335,6.4,19,1348.5,0.69,2.8,,,,0.1,0.08,2,6,100
Kacang merah kering,17.7,314,22.1,1.1,56.2,4,2.9,502,429,10.3,11,1265.5,0.65,2.6,,129,,0.4,0.72,2.2,,100
Kacang merah ,57.2,171,11,2.2,28,2.1,1.7,293,134,3.7,7,360.7,0.34,1.4,,0,10,0.15,0.15,1.1,,100
Kacang mete/biji jambu monyet ,4.6,616,16.3,48.4,28.7,0.9,2,26,521,3.8,26,692,4.7,4.1,,5,,0.64,0.03,0,,69
Kacang panjang biji kering,12.2,357,17.3,1.5,68.6,10.6,0.4,163,437,6.9,16,1109.4,0.35,2.8,0,"218
 2",,0.57,0.98,7.1,2,100
Kacang tanah sangan,1.2,560,29.5,43,24.1,2.9,2.2,107,366,4.1,34,509.8,1.69,2.1,,0,,0.31,0.3,15.5,,100
"Kacang tanah sangan
 tanpa selaput",2.6,559,26.9,44.2,23.6,2.6,2.7,74,393,1.9,33,202.3,"520.4
 0",1.7,0,0,,0.3,"29.4
 7",8,0,100
Kacang tanah kering,9.6,525,27.9,42.7,17.4,2.4,2.4,316,456,5.7,31,466.5,1.55,1.9,,0,30,0.44,0.27,1.4,,100
Kacang tolo / tunggak kering,13.5,331,24.4,1.9,56.6,1.6,3.6,481,399,13.9,15,7.8,01.03,5.9,,65,,0.06,0.2,4.3,,100
Kacang tunis kering,10.5,351,12.2,1.2,72.9,29.5,3.2,120,220,6.9,1,0,1.4,2.9,,,,0.57,0.13,2.5,,100
Kacang uci kering,9.9,358,23.4,2.4,60.6,7.4,3.7,269,264,0.5,13,1457.7,0.35,,,20,,0.1,0.2,2.5,2,100
Kacang urei kering,12.8,354,12.8,1.8,69.3,26.1,3.3,220,220,5.1,1,0,0.7,3.1,,,,0.55,0.05,3.5,,
Kenari banda kering,13,616,13.9,56.2,13.7,0,3.2,0,380,1.4,11,460,1.1,3.2,,90,,0.83,0.08,0.5,,100
Kenari kering,3,657,15,66,13,0,3,92,691,7.7,3,505.8,0.97,3,0,,,0.42,0.09,0.5,0,100
Komak polong ,74.3,99,3.3,0.1,21.2,10.3,1.1,50,99,13.1,15,567,0.2,0.6,,5,,0.13,0.03,0.2,,100
Koro andong kering,10.8,356,20.5,4.1,61.6,7,3,150,272,6.2,18,301.8,0.73,2.8,,0,,0.29,0.02,1.4,1,100
Koro benguk biji kering,15,332,24,3,55,5.6,3,30,200,2,42,389.2,1.25,8.7,,0,70,0.3,0.12,1.7,0,95
Koro kerupuk biji ,67.2,125,8.3,0.7,22.1,2.2,1.7,17,12,2.7,16,150.3,0.48,3.4,,0,80,0.11,0.04,1.1,31,68
Koro loke biji ,88.6,33,2.7,0.2,7.9,3.5,0.6,60,40,2,2,38.6,0.09,0.4,,0,40,0.1,0,0.2,0,95
Koro roay kering,13,344,12.5,2.1,69.4,7.5,3,70,103,4.4,18,294.3,0.72,2.7,,0,28,0.11,0.21,1.4,1,100
Koro wedus biji kering,11.8,338,22.2,1.5,61,5.8,3.5,88,395,3.5,43,403.8,1.3,9.1,0,0,,0.62,0.12,1.8,0,100
Lamtoro biji muda ,77.4,85,5.7,0.3,15.4,10.8,1.2,180,53,2.7,35,485.7,0.02,1.4,,0,423,0.08,1.15,1,15,100
Lamtoro biji tua ,61.4,148,10.6,0.5,26.2,17,1.3,155,59,2.2,28,628.5,0.03,2.4,,,416,0.23,0.49,2.8,20,100
Lamtoro var gung tanpa kulit,10.2,367,46.4,5.4,32.5,2.6,4.4,136,441,23.3,65,1462.3,0.07,5.6,,,18900,0.06,1.15,1,9,100
Lamtoro var lokal dengan kulit,13.5,336,23.8,1.2,59.7,15.4,1.8,867,321,1.5,134,1858.9,0.07,5.4,,,321,0.15,1.34,0.9,16,100
Nangka biji ,57.7,165,4.2,0.1,36.7,1.8,1.3,33,200,1,69,179,0.12,0.2,0,0,,0.2,0.03,1.4,10,75
Saga merah terkupas mentah,8.1,449,30.6,25.5,31.9,3.5,3.9,1062,161,14.2,66,1496.5,0.07,5.7,,,107,0.09,1.5,10.9,7,100
Wijen mentah,5.8,568,19.3,51.1,18.1,3.6,5.8,1125,614,9.5,18,303.7,4.16,7.9,,15,,0.93,0.2,5.7,0,100
Kacang belimbing rebus,55.6,204,16.9,8.8,17.5,4.8,1.2,230,180,3.3,43,1098,3.24,2.3,,,,0.2,0.48,0.7,,100
Kacang bogor goreng,3,479,12.7,23.2,58.9,1.2,2.2,135,184,2.9,,,,,,,,0.25,0.45,4.1,,35
Kacang bogor rebus,61.2,161,7.7,2.8,27.1,2,1.2,56,134,1.4,,,,,,,,0.1,,,,35
Kacang gude rebus,61.5,147,9,0.5,27.5,3.4,1.5,50,175,2,14,1126,0.8,2.7,,12,,0.1,0.07,13.2,,100
kacang hijau rebus,71.3,109,8.7,0.5,18.3,1.5,1.2,95,149,1.5,447,657.8,1.4,2.8,,18,120,0.12,0.04,0.4,3,100
Kacang kedelai goreng,9.6,521,32.2,37.7,22.9,7.6,3.7,296,800,6.5,3492,"11890.
 0",26.3,60,,,20,0.4,1.9,19,,100
Kacang kedelai rebus,56.8,189,20.2,8.2,12.7,1.6,2.1,91,270,3.9,181,615,1.3,3.7,,4,15,0.2,0.04,0.5,0,100
Kacang merah kering rebus,59.6,158,10.3,0.9,28.2,2.6,1,160,149,3.7,6,311,0.27,1.5,,,,0.2,0.09,0.8,,100
Kacang merah  rebus,63.1,144,10,1,24.7,3.5,1.2,144,150,2.8,6,311,0.27,1.5,,0,,0.1,0.08,0.7,,100
Kacang mete/biji jambu monyet goreng,1,629,20.4,56.3,19.8,1.1,2.5,502,493,8,13,641.7,4.7,5.4,,5,,0.37,0.22,1.8,,100
Kacang tanah rebus dg kulit,40.2,360,13.5,31.2,12.8,0,2.3,42,177,1.4,32,483,1.6,2,0,,,0.44,0.13,9,5,43
Kacang tanah goreng,2.5,564,25.5,44.4,25.5,2.8,2.8,106,390,4.1,,,,,,,,0.4,,,,100
Kacang tanah rebus,62.1,220,10.6,18,8,1,1.3,89,273,1.9,36,536.2,1.78,2.2,,,,0.1,,,0,100
Kacang tolo rebus,64.4,138,10.7,1.1,22.6,0.9,1.2,165,172,4,13,6.7,0.8,6.1,,,,0.01,0.17,3.2,,100
Ampas kacang hijau,70.6,96,3.7,0.6,19.1,2.7,0.6,133,150,1.3,,,,,,,,0.05,,,,100
Ampas tahu mentah,84.1,67,5,2.1,8.1,4.1,0.6,460,88,1,8,184.5,0.17,0.5,,0,,0.06,0.02,0.1,,100
Ampas tahu kukus,82.5,75,4.1,2.1,10.7,5.1,0.6,203,60,1.3,,,,,,0,,0.07,,,,100
Ampas tahu kering,9,414,26.6,18.3,41.3,0,5.8,19,29,4,45,1055.7,0.99,2.8,0,24,,0.2,0.1,0.5,0,100
Pepea oncom ampas tahu,80.9,76,5.2,1.8,10.6,2.2,1.5,215,66,12.5,,,,,,,268,0.11,,,,100
Bungkil biji karet,12,333,29.3,3.3,50,0,29.4,102,660,12,,,,,0,,,0.1,,,0,100
Bungkil kacang tanah,14,336,37.4,13,30.5,0,33.1,730,470,30.7,,,,,0,,,0.04,,,,100
Bungkil kelapa,16,368,23,15,40,0,38,137,433,41.5,,,,,0,,,0,0.46,8.9,,100
Dodol banjarmasin,17.3,368,2.6,8.6,70,0.5,1.5,51,180,3.3,48,96,0.4,2.6,0,0,0,0.04,0.07,2.3,0,100
Emping (kerupuk melinjo),13,345,12,1.5,71.5,0,"28.
 0",100,400,5,,,,,,,,0.2,,,0,100
Emping komak,14.2,355,17.8,4.6,60.7,0,2.7,87,304,4.3,24,1233,1,2.3,,0,,,,0.6,,100
Entingenting gepuk hello kity,2.4,538,13.6,30.3,52.6,0.2,1,81,248,1.6,,,,,0,,202,1,,,0,100
Entingenting gepuk kacang tanah,4.2,524,13.3,29.2,52,0.2,1.4,76,248,1.4,,,,,0,,272,0.62,,,0,100
Entingenting wijen,3.7,565,18.2,38.4,36.8,1.9,3,251,502,10.9,,,,,0,,240,0.92,,,0,100
Geplak,29.6,350,1.4,14.4,53.6,1.8,1,151,43,2.1,,,,,0,,120,0.12,0.02,0.8,0,100
Geplak jahe,12.4,462,3.1,24.4,57.7,3.3,2.5,212,161,6.6,,,,,0,,272,0.12,0,0.1,0,100
Kacang atom,3.1,533,27.8,38.1,28.8,2.5,2.2,87,423,3,,,,,,,0,0.06,,,0,100
Kacang goyang,8.3,516,14.7,31.1,44.4,0,1.5,34,230,0.7,2,365,0.6,1.7,,,,,,,,100
Kacang negara,3.1,480,18.4,19.1,58.5,11.7,0.9,34,404,10.3,1010,385,2.5,7.1,,,,0.63,0.05,2.6,,100
Kacang sukro,4.7,484,8.8,26.1,57.7,1.8,2.7,49,194,2.5,,,,,,,0,0.06,,,0,100
Kacang tanah sari,2.1,561,25.5,43.8,26,2.2,2.6,50,324,3.1,,,,,,,0,0.08,,,0,100
Keju kacang tanah,3,590,27,49,20.9,1.6,0.1,60,360,2,355,492.4,0.57,2.7,0,0,,0.3,0.2,16.2,0,100
Kembang tahu,10.8,380,48.9,13.8,23.3,0,3.2,378,781,2.1,55,455.3,0.68,4.2,,0,,0.15,0.08,0.7,,100
Kembang tahu rebus,79.8,90,10.7,4,4.7,0,0.8,85,,,,,,,,,,,,,,100
Keripik oncom,3,598,8.3,43.8,42.6,3.3,2.2,85,153,27,,,,,,,1608,1.13,,,0,100
Keripik tempe,3.3,581,12.1,40.6,41.7,2.2,2.3,237,116,6.9,,,,,,,320,0.35,,,0,100
Keripik tempe abadi besar,4.5,556,15.8,37.1,39.8,3.5,2.8,112,215,5.4,,,,,,,0,0.63,,,0,100
Keripik tempe abadi murni,3.2,542,40.3,42.4,11.6,2.2,2.7,175,529,5.2,,,,,,,50,0.1,,,0,100
Keripik tempe abadi sedang,4.4,510,12.3,27.9,52.4,3.6,3.1,122,211,8.4,,,,,,,0,0.52,,,0,100
Keripik tempe abadi telur,4.5,529,20.8,31.7,40.2,3,2.9,124,222,5.4,,,,,,,0,0.86,,,0,100
Kerupik tempe abadi prima,4.8,540,16.7,33.9,42,2.2,2.6,92,184,3.2,,,,,,,1080,0.38,,,0,100
Kwaci,9.9,515,30.6,42.1,13.8,13.6,3.7,54,312,6.2,124,448.6,0.65,9.7,0,,,0.02,0.19,0.3,0,35
Melinjo emping tebal goreng manis,5.6,439,10,16.4,65.7,0,2.3,66,225,,,,,,,,0,0.1,,,0,100
Melinjo emping tebal goreng asin,8,431,11.1,16.2,63,0,1.6,77,,,,,,,,,0,0.08,,,0,100
Melinjo emping tipis goreng,3.3,485,11.5,24.5,59.1,0,1.5,85,218,,,,,,,,0,0.11,,,0,100
Moon tahu,79.9,128,8,10,1.3,0.2,0.8,205,92,2.5,393,,,,131,,5300,0.46,,,0,100
Oncom,57,187,13,6,22.6,0,1.4,96,115,27,,,,,0,,,0.09,0,1.6,0,100
Oncom ampas kacang hijau,13.4,376,14.9,6,65.7,12.3,1.7,199,110,10.9,,,,,,,,0.03,,,,100
Oncom kacang hijau + singkong,16.5,351,11,5.3,65.9,9,1.3,164,113,7.8,,,,,,,,0.01,,,,100
Oncom kacang tanah pepes,65,132,12.7,3.8,13.7,3.1,4.8,133,355,34.4,,,,,,,10,0.08,0.2,0.7,0,100
Rempeyek kacang tanah,3.9,513,17.5,32.5,44.3,1.7,1.8,65,202,2.6,,,,,,,0,0.1,,,0,100
Rempeyek kacang tolo,6.1,451,11.2,20.2,59.7,1.8,2.8,156,221,4.6,,,,,,,0,0.02,,,0,100
Rempeyek kacang uci,4,497,17,27.6,50.8,2.4,3.4,166,89,6.7,,,,,,,0,0.05,,,0,100
Sayur lebui,83.9,64,2.1,0.6,12.5,5.7,0.9,21,2,1,124,146,0.2,0.7,,14,,,0,0.1,,100
Saridele bubuk,3,344,30,20,43,6.2,4,450,500,4,56,2572.3,2.99,4,,0,2000,0.7,0.16,2,10,100
Susu kedelai,87,41,3.5,2.5,5,0.2,2,50,45,0.7,128,287.9,0.12,1,,,200,0.08,0.05,0.7,2,100
Tahu mentah,82.2,80,10.9,4.7,0.8,0.1,1.4,223,183,3.4,2,50.6,0.19,0.8,,118,,0.01,0.08,0.1,,100
Tahu goreng,77.3,115,9.7,8.5,2.5,0.1,2,229,200,4.1,7,68.2,0.09,1.3,,0,0,0.01,0.24,0,0,100
Tahu telur,41.8,328,12.6,19.9,24.6,0.4,1.1,492,238,4.9,755,,,,73,,1860,0.42,,,0,100
Takwa,72.2,148,13.8,8.5,4,0,1.6,140,214,8.5,3,79,0.3,1.3,,,920,0.2,0.1,0.8,,100
Tauco,54,184,11.4,5.5,22.2,1.9,6.9,72,463,6,1766,233,0.39,1,,0,664,0.32,0.2,0.8,0,100
Tauco cap beruang cake,11.4,347,7.4,5.2,67.6,3.2,8.4,63,106,6.2,,,,,,,936,0.35,,,0,100
Tauco cap DAS cake,10.2,358,7.5,4.3,70.4,3.1,7.6,94,94,4.5,,,,,,,504,0.29,,,0,100
Tauco cap meong,59.7,159,7.4,4.9,21.3,1.6,6.7,183,84,10.1,1547,204.1,0.34,0.9,,0,472,0.46,0.18,0.7,0,100
Tauji cap singa,30.4,277,9.1,4.7,49.6,1.2,6.2,68,106,3,,,,,,,936,0.15,,,0,100
Tempe bongkrek,72.5,119,4.4,3.5,18.3,0,"146
 .3",27,100,2.6,,,,,0,,,0.08,,,0,100
Tempe gembus P3G,81.9,73,5.7,1.3,10.3,4.2,0.8,204,80,1.5,,,,,,,22,0.09,0.1,0.9,,100
Tempe gembus yogya,80.7,76,6.8,0.7,10.6,5.3,1.1,76,142,16.5,,,,,,,,0.79,0.01,0.1,,100
Tempe kacang babi,64,139,12.5,0.8,21.9,1.8,1.2,68,182,2.6,,,,,,,20,0.1,,,,100
Tempe kacang belimbing,58.2,212,17.5,10,12.9,2.9,1.4,186,160,2.2,,,,,,,,0.2,,,,100
Tempe kedelai + jagung,70.6,143,12,5.5,11.4,1.9,0.6,155,156,6.8,,,,,,,1320,0.33,0.15,1.2,,100
Tempe kedelai murnigoreng,36.8,350,24.5,26.6,10.4,4.2,1.8,202,296,4.9,22,626.7,0.8,2.5,,,78,0.24,0.6,3.3,0,100
Tempe kedelai murni mentah,55.3,201,20.8,8.8,13.5,1.4,1.6,155,326,4,9,234,0.57,1.7,,0,,0.19,0.59,4.9,,100
Tempe koro benguk,64,141,10.2,1.3,23.2,0,1.3,42,15,2.6,,,,,0,,,0.09,,,0,100
Tempe lamtoro,66.8,128,10.7,0.5,21.3,7.1,0.7,203,108,0.6,,,,,,,121,0.17,,,2,100
Tempe lamtoro var gung dengan kulit,65.1,146,11.7,2.3,19.6,7.6,1.3,128,41,6.8,,,,,,,1370,0.19,,1.4,,100
Tempe lamtoro var gung tanpa kulit,67.1,131,18,0.8,13,1.3,1.1,95,154,12.4,,,,,,,5900,0.2,0.02,2.6,,100
Tempe pasar,68.3,150,14,7.7,9.1,1.4,0.9,517,202,1.5,7,165.9,0.4,1.2,,0,,0.17,0.44,3.6,,100
Tempe pasar goreng,42.9,336,20,28,7.8,3.4,1.3,156,350,3,20,566.2,0.8,2.2,,,10,0.1,0.5,3,0,100
Tepung hunkwe (pati kacang ijo),10,364,4.5,1,83.5,16.1,1,50,100,1,15,1232.9,0.93,2.7,0,,,0,0.23,2.2,0,100
Tepung Jalejo,10,388,19,7.5,61.2,5.8,2.3,101,663,2,3,712,0.6,1.9,,"100
 0",0,0.02,0.7,1.6,9,100
Tepung kacang kedelai,9,347,35.9,20.6,29.9,5.8,4,195,544,8.4,52,2522.6,"4303.
 45",2.6,,0,140,0.77,0.32,2.1,0,100
Akar tonjong ,86.7,45,1.1,0.4,10.8,1.2,1,72,125,1.3,96,1147.1,0.02,0.2,0,83,90,0.02,0.03,1.9,2,100
Aletoge ,90.6,37,4.4,0.5,3.8,1.7,0.7,50,248,2,2,105,0.16,0.4,0,0,35,0.02,0.09,0.6,46,90
Andaliman ,74.2,99,4.6,1,18,8.5,2.2,383,107,2.9,,,,,0,,6300,3,,,15,100
Andewi ,91.8,226,1.6,0.2,5.3,4.1,1.1,33,66,1,29,414.6,0.13,1,,1717,,0.14,0.09,0.5,10,80
Bakung ,92.5,27,2,0.2,4.2,3.8,1.1,19,20,0.5,37,340,0.2,0.3,,1080,,0.2,0.1,0.3,42,100
Baligo ,96.1,15,0.4,0.2,3,0.4,0.3,19,19,0.4,2,131.1,0.02,0.6,,0,,0.04,0.02,0.3,13,69
Bawang bombay ,87.5,43,1.4,0.2,10.3,2,0.6,32,44,0.5,12,9.6,0.1,0.3,,788,50,0.03,0.21,0.4,9,94
Bayam ,94.5,16,0.9,0.4,2.9,0.7,1.3,166,76,3.5,16,456.4,0.13,0.4,,2699,2293,0.04,0.1,1,41,71
Bayam merah ,88.5,41,2.2,0.8,6.3,2.2,2.2,520,80,7,20,60,0.2,0.8,0,7325,,0.2,0.1,0.1,62,71
Bit ,87.6,41,1.6,0.1,9.6,2.6,1.1,27,43,1,29,404.9,0.2,0.7,,0,20,0.02,0.05,0.3,10,75
Buah kelor,89.5,38,1.5,0.2,7.5,3.2,1.3,30,54,0,48,216,0,0.2,,31,,0.1,0.1,4.1,25,65
Buah merah,81.2,87,2.6,2.7,13.1,4,0.4,30,1,1.1,110,140,0.1,0.3,0,0,,1.5,0.1,0.2,15,100
Buncis ,89.6,34,2.4,0.3,7.2,1.9,0.5,101,42,0.7,8,250,0.07,0.3,0,772,550,0.05,0.4,2.8,11,90
Bunga pepaya ,87.3,45,2.6,0.3,8.1,1.6,1.7,290,113,4.2,2,478.3,0.08,0.8,,2792,5,0.01,0.28,1,23,100
Bunga turi ,90.4,42,2,1.1,6.1,3.3,0.4,28,23,0.8,29,97.4,0.1,0.6,,1200,0,0.5,0.02,0.4,1,96.1
Caisin ,93.6,20,1.7,0.4,3.4,1.2,0.9,123,40,1.9,18,358.2,0.05,1.4,,1675,4188,0.04,0.19,0.6,3,100
Daun bangunbangun ,92.5,27,1.3,0.6,4,1,1.6,279,40,13.6,4,144,,,,1489,13288,0.16,0.1,0,5,66
Daun bawang merah ,89.1,41,2,0.3,7.8,2.1,0.8,60,40,2.3,30,90,0.1,0.3,0,218,,0.1,0.1,0.2,11,67
Daun bebuas ,87.9,41,2.7,1,7.3,2.1,1.1,29,245,1.5,,,,,0,,3099,0.01,,,3,49
Daun belem ,84.6,50,4.4,1.4,7.8,1.9,1.8,698,151,7.5,,,,,0,,13072,0.05,,,21,81
Daun bluntas ,86,44,1.8,0.5,9.4,0,2.3,256,49,5.6,,,,,,,3980,0.02,,,30,65
